title|date|link
#B_road 그곳엔 특별한 것이 있다. 뉴 뷰티 스토어|2018.12.11|https://www.harpersbazaar.co.kr/article/39776
예쁨주의보|2018.12.07|https://www.harpersbazaar.co.kr/article/39740
최고의 쿠션을 찾아서|2018.12.01|https://www.harpersbazaar.co.kr/article/39752
#B_BB템 유혹적인 홀리데이 매직|2018.11.29|https://www.harpersbazaar.co.kr/article/39741
이 겨울, 클래식한 트위드|2018.11.20|https://www.harpersbazaar.co.kr/article/39725
세상에서 가장 강렬한 빨간색, 샤넬 Nº5 레드 에디션|2018.11.16|https://www.harpersbazaar.co.kr/article/39716
나를 위한 코트|2018.11.16|https://www.harpersbazaar.co.kr/article/39715
인간명품 제니의 화려한 ‘SOLO’|2018.11.14|https://www.harpersbazaar.co.kr/article/39710
#B_BB템 연말찬스, 홀리데이 향수|2018.11.09|https://www.harpersbazaar.co.kr/article/39694
보습과 향기를 동시에. 겨울시즌 바디로션|2018.11.05|https://www.harpersbazaar.co.kr/article/39686
매트 라이프|2018.11.04|https://www.harpersbazaar.co.kr/article/39684
작가들의 책 이야기|2018.11.03|https://www.harpersbazaar.co.kr/article/39678
샤넬에서 만난 수주 밀착 취재기|2018.10.29|https://www.harpersbazaar.co.kr/article/39658
베스트셀러 레드 립스틱 vs. MLBB 립스틱은?|2018.10.23|https://www.harpersbazaar.co.kr/article/39650
매트 립스틱의 끝판왕|2018.10.12|https://www.harpersbazaar.co.kr/article/39619
: B_BB템 죽어가는 피부를 살려줄 #심폐소생크림|2018.10.12|https://www.harpersbazaar.co.kr/article/39617
포근하게 입술을 감싸 줄 신상 립스틱|2018.10.07|https://www.harpersbazaar.co.kr/article/39603
인생 메이크업 아이템은? #핫백|2018.10.07|https://www.harpersbazaar.co.kr/article/39596
빛나는 선물, 행복한 순간|2018.10.02|https://www.harpersbazaar.co.kr/article/39587
슈퍼플랫에 대해여|2018.09.30|https://www.harpersbazaar.co.kr/article/39580
세어셔 로넌의 뷰티톡|2018.09.29|https://www.harpersbazaar.co.kr/article/39576
변신에 성공한 뷰티 혁신템|2018.09.27|https://www.harpersbazaar.co.kr/article/39567
쿠션, 어떤게 좋아?|2018.09.16|https://www.harpersbazaar.co.kr/article/39541
빅 스니커즈|2018.09.16|https://www.harpersbazaar.co.kr/article/39540
마스터! 칼 라거펠트|2018.09.04|https://www.harpersbazaar.co.kr/article/39512
영원히 변치 않는 패션 ‘잇’ 아이템|2018.08.20|https://www.harpersbazaar.co.kr/article/39473
블랙 파워!|2018.07.15|https://www.harpersbazaar.co.kr/article/39372
패션으로 떠나는 세계여행|2018.07.13|https://www.harpersbazaar.co.kr/article/39366
여행 마니아들은 무엇을 가져갈까?|2018.07.04|https://www.harpersbazaar.co.kr/article/39337
한큐에 가능한 일당백 스킨케어템|2018.07.04|https://www.harpersbazaar.co.kr/article/39334
2018 F/W 파리 패션위크에서 생긴일|2018.07.01|https://www.harpersbazaar.co.kr/article/39327
어서와, 인간샤넬은 처음이지?|2018.06.28|https://www.harpersbazaar.co.kr/article/39315
예뻐도 너무 예쁜 제니의 옷장|2018.06.25|https://www.harpersbazaar.co.kr/article/39305
SNS에서 핫한 핸드폰 케이스|2018.06.14|https://www.harpersbazaar.co.kr/article/39270
결혼을 앞둔 당신의 워치 & 주얼리|2018.05.12|https://www.harpersbazaar.co.kr/article/39152
86세 현역 모델, 카르멘|2018.04.27|https://www.harpersbazaar.co.kr/article/39085
카이아 거버와 샤넬 백|2018.04.22|https://www.harpersbazaar.co.kr/article/39065
백은 이렇게 들어야 합니다.|2018.04.20|https://www.harpersbazaar.co.kr/article/39060
섹시보스로 변신하고 싶을 때|2018.04.12|https://www.harpersbazaar.co.kr/article/39027
미세먼지엔 매트 파운데이션|2018.03.28|https://www.harpersbazaar.co.kr/article/38973
#오프더런웨이 스타들의 오피스룩|2018.03.15|https://www.harpersbazaar.co.kr/article/38937
